"","port_code","state_code","port_name","state"
"1","9699035","96","Other Canada","CN"
"2","9898099","98","Foreign Joint Venture","JV"
"3","9999999","99","Unknown","NK"
"4","576271","5","Yarmouth","CN"
"5","570089","5","New Brunswick","CN"
"6","3330580","34","Gosport","NH"
"7","3351060","33","New Castle","NH"
"8","3622183","36","East Hampton","NY"
"9","2551405","25","Orleans","MA"
"10","2582490","25","Yarmouth","MA"
"11","2336465","23","Kennebec","ME"
"12","357810","35","Brigantine","NJ"
"13","3478710","34","West Creek","NJ"
"14","2531820","25","Hyannis","MA"
"15","3703408","37","Babylon","NY"
"16","2629090","26","Harwich Port","MA"
"17","2432310","24","Ipswich","MA"
"18","2669940","26","TISBURY","MA"
"19","2677550","26","Westport","MA"
"20","3333060","33","Hampton","NH"
"21","3351620","33","Newington","NH"
"22","3352380","33","Newmarket","NH"
"23","3362900","33","Portsmouth","NH"
"24","3366100","33","Rye","NH"
"25","3368180","33","Seabrook","NH"
"26","3399032","33","Other New Hampshire","NH"
"27","3402080","34","Atlantic City","NJ"
"28","3403040","34","Barnegat","NJ"
"29","3404600","34","Belford","NJ"
"30","3404930","34","Belmar","NJ"
"31","3407750","34","Brielle","NJ"
"32","3410270","34","Cape May","NJ"
"33","3430810","34","Heislerville","NJ"
"34","3431500","34","Highlands","NJ"
"35","3441250","34","Long Beach","NJ"
"36","3449560","34","Mystic Island","NJ"
"37","3459880","34","Point Pleasant","NJ"
"38","3462550","34","Reeds Beach","NJ"
"39","3474210","34","Tuckerton","NJ"
"40","3476820","34","Waretown","NJ"
"41","2458225","24","Ocean City","MD"
"42","3440560","34","LITTLE EGG HARBOR","NJ"
"43","2387845","23","Yarmouth","ME"
"44","2302865","23","Bar Harbor","ME"
"45","2307940","23","Brooksville","ME"
"46","1037670","10","Indian River","DE"
"47","2405595","24","BEVERLY","MA"
"48","2390678","23","TA R10 WELS","ME"
"49","2390680","23","TA R11 WELS","ME"
"50","2390682","23","TB R10 WELS","ME"
"51","2390684","23","TB R11 WELS","ME"
"52","2390686","23","TC R2 WELS","ME"
"53","2390688","23","TD R2 WELS","ME"
"54","2390690","23","TX R14 WELS","ME"
"55","2399001","23","Other Androscoggin","ME"
"56","2399003","23","Other Aroostook","ME"
"57","2399005","23","Other Cumberland","ME"
"58","2399007","23","Other Franklin","ME"
"59","2399009","23","Other Hancock","ME"
"60","2399011","23","Other Kennebec","ME"
"61","2399013","23","Other Knox","ME"
"62","2399015","23","Other Lincoln","ME"
"63","2399017","23","Other Oxford","ME"
"64","2399019","23","Other Penobscot","ME"
"65","2399021","23","Other Piscataquis","ME"
"66","2399022","23","Other Maine","ME"
"67","2399023","23","Other Sagadahoc","ME"
"68","2399025","23","Other Somerset","ME"
"69","2399027","23","Other Waldo","ME"
"70","2399029","23","Other Washington","ME"
"71","2399031","23","Other York","ME"
"72","2499923","24","Other Maryland","MD"
"73","2503600","25","Barnstable","MA"
"74","2507000","25","Boston","MA"
"75","2512960","25","Chatham","MA"
"76","2516740","25","Dennis","MA"
"77","2522165","25","Fairhaven","MA"
"78","2523000","25","Fall River","MA"
"79","2523070","25","Falmouth","MA"
"80","2524099","25","Other Massachusetts","MA"
"81","2526150","25","Gloucester","MA"
"82","2538820","25","Marshfield","MA"
"83","2543755","25","Nantucket","MA"
"84","2545000","25","New Bedford","MA"
"85","2545245","25","Newburyport","MA"
"86","2554275","25","Plymouth","MA"
"87","2555500","25","Provincetown","MA"
"88","2557845","25","Rockport","MA"
"89","2559210","25","Salisbury","MA"
"90","2559700","25","Sandwich","MA"
"91","2560050","25","Saugus","MA"
"92","2560295","25","Scituate","MA"
"93","2571650","25","Sharptown","MD"
"94","2574350","25","Wellfleet","MA"
"95","2599001","25","Other Barnstable","MA"
"96","4456980","44","Point Judith","RI"
"97","4457880","44","Portsmouth","RI"
"98","4459000","44","Providence","RI"
"99","4470700","44","Tiverton","RI"
"100","4499001","44","Other Bristol","RI"
"101","4499005","44","Other Newport","RI"
"102","4499007","44","Other Providence","RI"
"103","4499009","44","Other Washington","RI"
"104","4499042","44","Other Rhode Island","RI"
"105","5116512","51","Chincoteague","VA"
"106","5135000","51","Hampton","VA"
"107","5156000","51","Newport News","VA"
"108","5157000","51","Norfolk","VA"
"109","5182000","51","Virginia Beach","VA"
"110","5199036","51","Other Charles City","VA"
"111","5199049","51","Other Virginia","VA"
"112","5199095","51","Other James City","VA"
"113","5199101","51","Other King William","VA"
"114","5199115","51","Other Mathews","VA"
"115","5199127","51","Other New Kent","VA"
"116","5199133","51","Other Norththumberland","VA"
"117","5199159","51","Other Richmond","VA"
"118","5199179","51","Other Stafford","VA"
"119","5212808","52","Cape Charles","VA"
"120","5259336","52","Onancock","VA"
"121","2390630","23","T19 R11 WELS","ME"
"122","2390632","23","T19 R12 WELS","ME"
"123","2390634","23","T22 MD","ME"
"124","2390636","23","T24 MD BPP","ME"
"125","2390638","23","T25 MD BPP","ME"
"126","2390640","23","T26 ED BPP","ME"
"127","2390642","23","T27 ED BPP","ME"
"128","2390644","23","T28 MD","ME"
"129","2390646","23","T30 MD BPP","ME"
"130","2390648","23","T31 MD BPP","ME"
"131","2390650","23","T32 MD","ME"
"132","2390652","23","T34 MD","ME"
"133","2390654","23","T35 MD","ME"
"134","2390656","23","T36 MD BPP","ME"
"135","2390658","23","T37 MD BPP","ME"
"136","2390660","23","T39 MD","ME"
"137","2390664","23","T40 MD","ME"
"138","2390666","23","T41 MD","ME"
"139","2390668","23","T42 MD BPP","ME"
"140","2390670","23","T43 MD BPP","ME"
"141","2390674","23","TA R2 WELS","ME"
"142","2390676","23","TA R7 WELS","ME"
"143","2390608","23","T17 R12 WELS","ME"
"144","2390610","23","T17 R13 WELS","ME"
"145","2390612","23","T17 R14 WELS","ME"
"146","2390614","23","T18 ED BPP","ME"
"147","2390616","23","T18 MD BPP","ME"
"148","2390618","23","T18 R10 WELS","ME"
"149","2390620","23","T18 R11 WELS","ME"
"150","2390622","23","T18 R12 WELS","ME"
"151","2390624","23","T18 R13 WELS","ME"
"152","2390626","23","T19 ED BPP","ME"
"153","2390628","23","T19 MD BPP","ME"
"154","3481170","34","Wildwood","NJ"
"155","3499009","34","Other Cape May","NJ"
"156","3499011","34","Other Cumberland","NJ"
"157","3499025","34","Other Monmouth","NJ"
"158","3499029","34","Other Ocean","NJ"
"159","3499033","34","Other New Jersey","NJ"
"160","3502320","35","Avalon","NJ"
"161","3566390","35","SEA ISLE CITY","NJ"
"162","3601594","36","Amagansett","NY"
"163","3610011","36","Brooklyn","NY"
"164","3627485","36","Freeport","NY"
"165","3630559","36","Greenport","NY"
"166","3631896","36","Hampton Bay","NY"
"167","3637869","36","Islip","NY"
"168","3646140","36","Mattituck","NY"
"169","3648054","36","Montauk","NY"
"170","3651000","36","New York City","NY"
"171","3658849","36","Point Lookout","NY"
"172","3667048","36","Shinnecock","NY"
"173","3699013","36","Other Suffolk","NY"
"174","3699035","36","Other NY","NY"
"175","3699059","36","Other Nassau","NY"
"176","3704260","37","BEAUFORT","NC"
"177","3705771","37","BELLPORT","NY"
"178","3522810","35","Eastport","NY"
"179","3737583","37","Inwood","NY"
"180","3743390","37","Long Island City","NY"
"181","3748450","37","Moriches","NY"
"182","3556660","35","PATCHOGUE","NY"
"183","3565409","35","SAYVILLE","NY"
"184","3770920","37","Wanchese","NC"
"185","3773737","37","THREE MILE BAY","NY"
"186","3799055","37","Other Dare","NC"
"187","3821380","38","ENGELHARD","NC"
"188","4420800","44","Davisville","RI"
"189","4436820","44","Jamestown","RI"
"190","4442220","44","Little Compton","RI"
"191","4449960","44","Newport","RI"
"192","4451400","44","North Kingstown","RI"
"193","2390510","23","T12 R14 WELS","ME"
"194","2390512","23","T12 R15 WELS","ME"
"195","2390514","23","T12 R16 WELS","ME"
"196","2390516","23","T12 R17 WELS","ME"
"197","2390518","23","T13 R5 WELS","ME"
"198","2390520","23","T13 R7 WELS","ME"
"199","2390522","23","T13 R8 WELS","ME"
"200","2390524","23","T13 R9 WELS","ME"
"201","2390526","23","T13 R10 WELS","ME"
"202","2390528","23","T13 R11 WELS","ME"
"203","2390530","23","T13 R12 WELS","ME"
"204","2390532","23","T13 R13 WELS","ME"
"205","2390534","23","T13 R14 WELS","ME"
"206","2390536","23","T13 R15 WELS","ME"
"207","2390538","23","T13 R16 WELS","ME"
"208","2390540","23","T14 R5 WELS","ME"
"209","2390542","23","T14 R6 WELS","ME"
"210","2390544","23","T14 R7 WELS","ME"
"211","2390546","23","T14 R8 WELS","ME"
"212","2390548","23","T14 R9 WELS","ME"
"213","2390550","23","T14 R10 WELS","ME"
"214","2390552","23","T14 R11 WELS","ME"
"215","2390554","23","T14 R12 WELS","ME"
"216","2390556","23","T14 R13 WELS","ME"
"217","2390558","23","T14 R14 WELS","ME"
"218","2390560","23","T14 R15 WELS","ME"
"219","2390562","23","T14 R16 WELS","ME"
"220","2390564","23","T15 R5 WELS","ME"
